[= test-program =], [c基本機能]
option , コンパイラオプション
c/plain_char_is_signed.c , char の符号
c/char_bit_size.c , char のビット数
c/sizeof_char.c , char のバイト数
c/sizeof_short.c , short のバイト数
c/sizeof_int.c , int のバイト数
c/sizeof_long.c , long のバイト数
c/sizeof_ptr.c , ポインタのバイト数
c/sizeof_float.c , float のバイト数
c/sizeof_double.c , double のバイト数
c/sizeof_longdouble.c , long double のバイト数
c/short_int.c , short int と記述できるか
c/unsigned_short_int.c , unsigned short int と記述できるか
c/unsigned_int.c , unsigned int と記述できるか
c/long_int.c , long int と記述できるか
c/unsigned_long_int.c , unsigned long int と記述できるか
c/cmp_int_uint.c , int値とunsigned値の比較(int→unsigned整数昇格) ,実プログラムでは (unsigned)n < 10U か 0 <= n && n < 10 のようにするだろう.
c/m1div4294967295.c , 整数昇格の都合で -1/4294967295 の結果が 0(C99以降) か 1(以前)か,4294967295 が unsigned long として扱われるか long long として扱われるか. [[こちら>http://d.hatena.ne.jp/yupo5656/20070204/p1]] を参考に用意( LP64で負の割算がc99仕様でない場合結果は-1. サフィックス無の時は未定義動作の類らしい ) (ソースでlong long 64bit整数がない場合は32bit整数でエラー回避)
c/macro_ifdef.c , #ifdef が使えるか
c/macro_define.c , 引数有の #define マクロが使えるか
c/macro_file_line.c , __FILE__ __LINE__ __DATE__ __TIME__ があるか
c/bitfield.c , ビットフィールドが使えるか
c/local_var_init.c , ローカル変数定義で初期値が使えるか
c/local_block_var.c , ブロック内でローカル変数定義できるか
c/local_static_var.c , 関数ローカルでstatic変数定義できるか
c/local_block_static_var.c , ブロック内でstatic変数定義できるか
c/union.c , union が使えるか
c/struct1.c , 構造体が使えるか
c/struct2.c , 同名のメンバー名が他のstructで別の型・相対位置でも使えるか
c/number_of_int32_without_l.c , サフィックス無で32ビット符号付整数リテラルが使えるか ,8/16bitコンパイラを想定(sizeof(int)=2). 普通は intよりも幅広の整数リテラルを扱う場合はサフィックスで明示する.
c/number_of_uint32_without_ul.c , サフィックス無で32ビット符号無16進整数リテラルが使えるか ,8/16bitコンパイラを想定(sizeof(int)=2). 普通は intよりも幅広の整数リテラルを扱う場合はサフィックスで明示する.
c/number_of_int64_without_ll.c , サフィックス無で64ビット符号付整数リテラルが使えるか ,sizeof(int)=4 sizeof(long long)=8 を想定. 普通は intよりも幅広の整数リテラルを扱う場合はサフィックスで明示する.
c/number_of_uint64_without_ull.c , サフィックス無で64ビット符号無16進整数リテラルが使えるか ,sizeof(int)=4 sizeof(long long)=8 を想定. 普通は intよりも幅広の整数リテラルを扱う場合はサフィックスで明示する.
[KR-C] , [old-c特有]
kr/extern_in_func.c , 関数中のextern 宣言が関数外に影響するか
kr/oct0809.c , 8進数リテラルで 8・9が使えてしまうか
[c90] , [c90 で確定した機能]
c90/sizeof_signed_char.c , signed char のバイト数
